Athlete_Name,Country,Coach,Team,Gold_Medals_Per_Country
Lindskog Anton,Sweden,Solberg Glenn,Sweden,3.0
Lindskog Anton,Sweden,Axner Tomas,Sweden,3.0
Lindqvist Emma,Sweden,Solberg Glenn,Sweden,3.0
Lindqvist Emma,Sweden,Axner Tomas,Sweden,3.0
Westberg Johanna,Sweden,Solberg Glenn,Sweden,3.0
Westberg Johanna,Sweden,Axner Tomas,Sweden,3.0
Jakobsson Sofia,Sweden,Gerhardsson Peter,Sweden,3.0
Angeldal Filippa,Sweden,Gerhardsson Peter,Sweden,3.0
Andersson Jonna,Sweden,Gerhardsson Peter,Sweden,3.0
Eriksson Magdalena,Sweden,Gerhardsson Peter,Sweden,3.0
Blomqvist Rebecka,Sweden,Gerhardsson Peter,Sweden,3.0
Janogy Madelen,Sweden,Gerhardsson Peter,Sweden,3.0
Falk Jennifer,Sweden,Gerhardsson Peter,Sweden,3.0
Anvegard Anna,Sweden,Gerhardsson Peter,Sweden,3.0
Glas Hanna,Sweden,Gerhardsson Peter,Sweden,3.0
Bennison Hanna,Sweden,Gerhardsson Peter,Sweden,3.0
Ilestedt Amanda,Sweden,Gerhardsson Peter,Sweden,3.0
Asllani Kosovare,Sweden,Gerhardsson Peter,Sweden,3.0
Blackstenius Stina,Sweden,Gerhardsson Peter,Sweden,3.0
Rolfo Fridolina,Sweden,Gerhardsson Peter,Sweden,3.0
Seger Caroline,Sweden,Gerhardsson Peter,Sweden,3.0
Musovic Zecira,Sweden,Gerhardsson Peter,Sweden,3.0
Schough Olivia,Sweden,Gerhardsson Peter,Sweden,3.0
Kullberg Emma,Sweden,Gerhardsson Peter,Sweden,3.0
Roddar Julia,Sweden,Gerhardsson Peter,Sweden,3.0
Lindahl Hedvig,Sweden,Gerhardsson Peter,Sweden,3.0
Han Hyunhee,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Choi Joohwan,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Kim Hyeseong,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Kang Baekho,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Kim Hyunsoo,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Ko Youngpyo,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Go Woosuk,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Cho Sangwoo,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Kang Minho,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Cha Woochan,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Kim Jinuk,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
Hwang Jaegyun,Republic of Korea,Choi Il Eon,Republic of Korea,6.0
